"0.0166666666666667,",0.01
"0.0333333333333333,",0.01
"0.05,",0
"0.0666666666666667,",0.01
"0.0833333333333333,",0
"0.1,",0.01
"0.116666666666667,",0.06
"0.133333333333333,",0.69
"0.15,",0.29
"0.166666666666667,",0.01
"0.183333333333333,",0.01
"0.2,",0.01
"0.216666666666667,",0.03
"0.233333333333333,",0.01
"0.25,",0.01
"0.266666666666667,",0.06
"0.283333333333333,",0.3
"0.3,",0.01
"0.316666666666667,",0.01
"0.333333333333333,",0.01
"0.35,",0
"0.366666666666667,",0.01
"0.383333333333333,",0
"0.4,",0
"0.416666666666667,",0.01
"0.433333333333333,",0.01
"0.45,",0.41
"0.466666666666667,",0.29
"0.483333333333333,",0.02
"0.5,",0
"0.516666666666667,",0.01
"0.533333333333333,",0.01
"0.55,",0.01
"0.566666666666667,",0.06
"0.583333333333333,",0.3
"0.6,",0.01
"0.616666666666667,",0
"0.633333333333333,",0.01
"0.65,",0.06
"0.666666666666667,",0.64
"0.683333333333333,",0
"0.7,",0.01
"0.716666666666667,",0
"0.733333333333333,",0.01
"0.75,",0.01
"0.766666666666667,",0.06
"0.783333333333333,",0.29
"0.8,",0.01
"0.816666666666667,",0
"0.833333333333333,",0.01
"0.85,",0
"0.866666666666667,",0.01
"0.883333333333333,",0.01
"0.9,",0.01
"0.916666666666667,",0
"0.933333333333333,",0.01
"0.95,",0
"0.966666666666667,",0.01
"0.983333333333333,",0
"1,",0.07
"1.01666666666667,",0.3
"1.03333333333333,",0
"1.05,",0.01
"1.06666666666667,",0.01
"1.08333333333333,",0.01
"1.1,",0
"1.11666666666667,",0.01
"1.13333333333333,",0
"1.15,",0.01
"1.16666666666667,",0.34
"1.18333333333333,",0.01
"1.2,",0.01
"1.21666666666667,",0.01
"1.23333333333333,",0
"1.25,",0
"1.26666666666667,",0.36
"1.28333333333333,",0.01
"1.3,",0
"1.31666666666667,",0
"1.33333333333333,",0
"1.35,",0.02
"1.36666666666667,",0.06
"1.38333333333333,",0.29
"1.4,",0.02
"1.41666666666667,",0.02
"1.43333333333333,",0.06
"1.45,",0.29
"1.46666666666667,",0.06
"1.48333333333333,",0.35
"1.5,",0.3
"1.51666666666667,",0.06
"1.53333333333333,",0.3
"1.55,",0.01
"1.56666666666667,",0.01
"1.58333333333333,",0
"1.6,",0.01
"1.61666666666667,",0.02
"1.63333333333333,",0.02
"1.65,",0.02
"1.66666666666667,",0.36
"1.68333333333333,",0.01
"1.7,",0.36
"1.71666666666667,",0
"1.73333333333333,",0.01
"1.75,",0
"1.76666666666667,",0
"1.78333333333333,",0.01
"1.8,",0.01
"1.81666666666667,",0.07
"1.83333333333333,",0.31
"1.85,",0.36
"1.86666666666667,",0.06
"1.88333333333333,",0.36
"1.9,",0.63
"1.91666666666667,",0.01
"1.93333333333333,",0.34
"1.95,",0
"1.96666666666667,",0.03
"1.98333333333333,",0
"2,",0.01
"2.01666666666667,",0.01
"2.03333333333333,",0.03
"2.05,",0.01
"2.06666666666667,",0.01
"2.08333333333333,",0
"2.1,",0.01
"2.11666666666667,",0
"2.13333333333333,",0.01
"2.15,",0
"2.16666666666667,",0
"2.18333333333333,",0.01
"2.2,",0
"2.21666666666667,",0
"2.23333333333333,",0.01
"2.25,",0
"2.26666666666667,",0.4
"2.28333333333333,",0.3
"2.3,",0
"2.31666666666667,",0
"2.33333333333333,",0.01
"2.35,",0
"2.36666666666667,",0.34
"2.38333333333333,",0.06
"2.4,",0.3
"2.41666666666667,",0
"2.43333333333333,",0
"2.45,",0
"2.46666666666667,",0.01
"2.48333333333333,",0.34
"2.5,",0.01
"2.51666666666667,",0.06
"2.53333333333333,",0.29
"2.55,",0.01
"2.56666666666667,",0.06
"2.58333333333333,",0.29
"2.6,",0.01
"2.61666666666667,",0.01
"2.63333333333333,",0.01
"2.65,",0
"2.66666666666667,",0.01
"2.68333333333333,",0.01
"2.7,",0.02
"2.71666666666667,",0.01
"2.73333333333333,",0.01
"2.75,",0.01
"2.76666666666667,",0.01
"2.78333333333333,",0.35
"2.8,",0
"2.81666666666667,",0.01
"2.83333333333333,",0.01
"2.85,",0.01
"2.86666666666667,",0
"2.88333333333333,",0.02
"2.9,",0.01
"2.91666666666667,",0.35
"2.93333333333333,",0.34
"2.95,",0.02
"2.96666666666667,",0
"2.98333333333333,",0
"3,",0.01
"3.01666666666667,",0.01
"3.03333333333333,",0.01
"3.05,",0.01
"3.06666666666667,",0.01
"3.08333333333333,",0
"3.1,",0.02
"3.11666666666667,",0.01
"3.13333333333333,",0.01
"3.15,",0.01
"3.16666666666667,",0.35
"3.18333333333333,",0.01
"3.2,",0
"3.21666666666667,",0.06
"3.23333333333333,",0.29
"3.25,",0.01
"3.26666666666667,",0
"3.28333333333333,",0.01
"3.3,",0.01
"3.31666666666667,",0.01
"3.33333333333333,",0
"3.35,",0.01
"3.36666666666667,",0.01
"3.38333333333333,",0.01
"3.4,",0.01
"3.41666666666667,",0.01
"3.43333333333333,",0.07
"3.45,",0.29
"3.46666666666667,",0.03
"3.48333333333333,",0.01
"3.5,",0.02
"3.51666666666667,",0.01
"3.53333333333333,",0.02
"3.55,",0.01
"3.56666666666667,",0.36
"3.58333333333333,",0.01
"3.6,",0
"3.61666666666667,",0
"3.63333333333333,",0.36
"3.65,",0.03
"3.66666666666667,",0.01
"3.68333333333333,",0.36
"3.7,",0.06
"3.71666666666667,",0.31
"3.73333333333333,",0.01
"3.75,",0.35
"3.76666666666667,",0.02
"3.78333333333333,",0.01
"3.8,",0.01
"3.81666666666667,",0.01
"3.83333333333333,",0.01
"3.85,",0.01
"3.86666666666667,",0.03
"3.88333333333333,",0.01
"3.9,",0
"3.91666666666667,",0.07
"3.93333333333333,",0.64
"3.95,",0.01
"3.96666666666667,",0.01
"3.98333333333333,",0.35
"4,",0
"4.01666666666667,",0.01
"4.03333333333333,",0.01
"4.05,",0
"4.06666666666667,",0.01
"4.08333333333333,",0.01
"4.1,",0.01
"4.11666666666667,",0.02
"4.13333333333333,",0.01
"4.15,",0.35
"4.16666666666667,",0.01
"4.18333333333333,",0
"4.2,",0.01
"4.21666666666667,",0.07
"4.23333333333333,",0.29
"4.25,",0.01
"4.26666666666667,",0.07
"4.28333333333333,",0.3
"4.3,",0.01
"4.31666666666667,",0.01
"4.33333333333333,",0
"4.35,",0
"4.36666666666667,",0.01
"4.38333333333333,",0
"4.4,",0.01
"4.41666666666667,",0
"4.43333333333333,",0
"4.45,",0
"4.46666666666667,",0.02
"4.48333333333333,",0
"4.5,",0.41
"4.51666666666667,",0.3
"4.53333333333333,",0
"4.55,",0
"4.56666666666667,",0.36
"4.58333333333333,",0
"4.6,",0.36
"4.61666666666667,",0.07
"4.63333333333333,",0.29
"4.65,",0.06
"4.66666666666667,",0.3
"4.68333333333333,",0.01
"4.7,",0.01
"4.71666666666667,",0.06
"4.73333333333333,",0.31
"4.75,",0.36
"4.76666666666667,",0.06
"4.78333333333333,",0.3
"4.8,",0.01
"4.81666666666667,",0.01
"4.83333333333333,",0.01
"4.85,",0.06
"4.86666666666667,",0.31
"4.88333333333333,",0.01
"4.9,",0.03
"4.91666666666667,",0.02
"4.93333333333333,",0
"4.95,",0.08
"4.96666666666667,",0.3
"4.98333333333333,",0.06
"5,",0.35
"5.01666666666667,",0.37
"5.03333333333333,",0.66
"5.05,",0.01
"5.06666666666667,",0.01
"5.08333333333333,",0
"5.1,",0.36
"5.11666666666667,",0.02
"5.13333333333333,",0.01
"5.15,",0.08
"5.16666666666667,",0.31
"5.18333333333333,",0.01
"5.2,",0
"5.21666666666667,",0.07
"5.23333333333333,",0.31
"5.25,",0.08
"5.26666666666667,",0.3
"5.28333333333333,",0.06
"5.3,",0.63
"5.31666666666667,",0.01
"5.33333333333333,",0.01
"5.35,",0.06
"5.36666666666667,",0.29
"5.38333333333333,",0.01
"5.4,",0.02
"5.41666666666667,",0.01
"5.43333333333333,",0.35
"5.45,",0.03
"5.46666666666667,",0.41
"5.48333333333333,",0.31
"5.5,",0.38
"5.51666666666667,",0.46
"5.53333333333333,",0.76
"5.55,",0.76
"5.56666666666667,",0.76
"5.58333333333333,",0.76
"5.6,",0.76
"5.61666666666667,",0.76
"5.63333333333333,",0.76
"5.65,",0.78
"5.66666666666667,",0.77
"5.68333333333333,",0.83
"5.7,",1.45
"5.71666666666667,",0.79
"5.73333333333333,",0.77
"5.75,",1.2
"5.76666666666667,",1.05
"5.78333333333333,",0.21
"5.8,",0.26
"5.81666666666667,",0.32
"5.83333333333333,",0.38
"5.85,",0.47
"5.86666666666667,",0.77
"5.88333333333333,",0.89
"5.9,",0.75
"5.91666666666667,",1.14
"5.93333333333333,",1.3
"5.95,",1.67
"5.96666666666667,",2.53
"5.98333333333333,",3.7
"6,",4.04
"6.01666666666667,",4.23
"6.03333333333333,",4.39
"6.05,",4.84
"6.06666666666667,",4.63
"6.08333333333333,",4.67
"6.1,",4.05
"6.11666666666667,",3.35
"6.13333333333333,",3.03
"6.15,",3.52
"6.16666666666667,",3.54
"6.18333333333333,",2.96
"6.2,",2.85
"6.21666666666667,",2.26
"6.23333333333333,",2.15
"6.25,",2.15
"6.26666666666667,",2.15
"6.28333333333333,",2.33
"6.3,",2.45
"6.31666666666667,",2.39
"6.33333333333333,",2.86
"6.35,",3.58
"6.36666666666667,",4.05
"6.38333333333333,",4.88
"6.4,",4.76
"6.41666666666667,",4.28
"6.43333333333333,",3.94
"6.45,",4.03
"6.46666666666667,",4.64
"6.48333333333333,",4.9
"6.5,",5.51
"6.51666666666667,",5.49
"6.53333333333333,",6.26
"6.55,",8.57
"6.56666666666667,",9.45
"6.58333333333333,",9.04
"6.6,",9.48
"6.61666666666667,",10.94
"6.63333333333333,",11.42
"6.65,",10.48
"6.66666666666667,",9.6
"6.68333333333333,",9.05
"6.7,",9.02
"6.71666666666667,",12.92
"6.73333333333333,",20
"6.75,",28.47
"6.76666666666667,",34.05
"6.78333333333333,",40.38
"6.8,",45.12
"6.81666666666667,",44.5
"6.83333333333333,",46.71
"6.85,",52.97
"6.86666666666667,",45.9
"6.88333333333333,",42.47
"6.9,",50.24
"6.91666666666667,",48.07
"6.93333333333333,",37.11
"6.95,",35.68
"6.96666666666667,",35.99
"6.98333333333333,",35.01
"7,",32.4
"7.01666666666667,",39.53
"7.03333333333333,",54.06
"7.05,",72.15
"7.06666666666667,",70.39
"7.08333333333333,",76.5
"7.1,",63
"7.11666666666667,",48.92
"7.13333333333333,",45.98
"7.15,",49.64
"7.16666666666667,",47.13
"7.18333333333333,",40.42
"7.2,",34.99
"7.21666666666667,",37.14
"7.23333333333333,",43.12
"7.25,",53.69
"7.26666666666667,",57.46
"7.28333333333333,",60.47
"7.3,",69.16
"7.31666666666667,",73.5
"7.33333333333333,",72.79
"7.35,",67.25
"7.36666666666667,",68.75
"7.38333333333333,",71.11
"7.4,",69.99
"7.41666666666667,",75.01
"7.43333333333333,",79.92
"7.45,",70.57
"7.46666666666667,",57.52
"7.48333333333333,",54.55
"7.5,",51.06
"7.51666666666667,",47.4
"7.53333333333333,",49.59
"7.55,",55.65
"7.56666666666667,",58.94
"7.58333333333333,",64.65
"7.6,",72.33
"7.61666666666667,",72.6
"7.63333333333333,",70.97
"7.65,",66.33
"7.66666666666667,",55.62
"7.68333333333333,",50.64
"7.7,",52.94
"7.71666666666667,",57.08
"7.73333333333333,",61.98
"7.75,",65.71
"7.76666666666667,",61.72
"7.78333333333333,",53.11
"7.8,",39.37
"7.81666666666667,",28.91
"7.83333333333333,",21.58
"7.85,",17.71
"7.86666666666667,",19.67
"7.88333333333333,",22.61
"7.9,",22.66
"7.91666666666667,",21.9
"7.93333333333333,",23.74
"7.95,",23.62
"7.96666666666667,",23.85
"7.98333333333333,",22.46
"8,",18.95
"8.01666666666667,",19.11
"8.03333333333333,",23.95
"8.05,",26.93
"8.06666666666667,",30.78
"8.08333333333333,",41.36
"8.1,",47.9
"8.11666666666667,",51.69
"8.13333333333333,",67.76
"8.15,",76.19
"8.16666666666667,",65.5
"8.18333333333333,",72.83
"8.2,",101
"8.21666666666667,",114.22
"8.23333333333333,",118.5
"8.25,",120.26
"8.26666666666667,",126.31
"8.28333333333333,",138.54
"8.3,",149.17
"8.31666666666667,",156.75
"8.33333333333333,",164.62
"8.35,",172.54
"8.36666666666667,",182.18
"8.38333333333333,",196.22
"8.4,",202.3
"8.41666666666667,",193.28
"8.43333333333333,",173.3
"8.45,",166.87
"8.46666666666667,",160.83
"8.48333333333333,",148.18
"8.5,",143.81
"8.51666666666667,",141.68
"8.53333333333333,",136.11
"8.55,",145.8
"8.56666666666667,",164.33
