0.016666666666667,228.23,57.0575
0.033333333333333,237.69,59.4225
0.05,232.64,58.16
0.066666666666667,236.57,59.1425
0.083333333333333,235.04,58.76
0.1,220.72,55.18
0.116666666666667,204.4,51.1
0.133333333333333,190.01,47.5025
0.15,175.57,43.8925
0.166666666666667,160.04,40.01
0.183333333333333,150.94,37.735
0.2,152.26,38.065
0.216666666666667,161.61,40.4025
0.233333333333333,165.27,41.3175
0.25,163.12,40.78
0.266666666666667,163.59,40.8975
0.283333333333333,172.04,43.01
0.3,180.37,45.0925
0.316666666666667,181.58,45.395
0.333333333333333,179.82,44.955
0.35,178.3,44.575
0.366666666666667,178.71,44.6775
0.383333333333333,180.21,45.0525
0.4,182.79,45.6975
0.416666666666667,185.76,46.44
0.433333333333333,188.11,47.0275
0.45,187.5,46.875
0.466666666666667,184.33,46.0825
0.483333333333333,184,46
0.5,190.74,47.685
0.516666666666667,197.2,49.3
0.533333333333333,191.63,47.9075
0.55,168.89,42.2225
0.566666666666667,144.78,36.195
0.583333333333333,137.49,34.3725
0.6,143.21,35.8025
0.616666666666667,169.13,42.2825
0.633333333333333,199.44,49.86
0.65,213.55,53.3875
0.666666666666667,202.22,50.555
0.683333333333333,177.58,44.395
0.7,151.97,37.9925
0.716666666666667,134.74,33.685
0.733333333333333,128.99,32.2475
0.75,138.71,34.6775
0.766666666666667,169.05,42.2625
0.783333333333333,235.24,58.81
0.8,266.27,66.5675
0.816666666666667,229.08,57.27
0.833333333333333,221.68,55.42
0.85,285.37,71.3425
0.866666666666667,351.42,87.855
0.883333333333333,370.06,92.515
0.9,420.86,105.215
0.916666666666667,494,123.5
0.933333333333333,497.96,124.49
0.95,517.21,129.3025
0.966666666666667,513.3,128.325
0.983333333333333,539.05,134.7625
1,772.03,193.0075
1.01666666666667,567.6,141.9
1.03333333333333,679.6,169.9
1.05,826.97,206.7425
1.06666666666667,837.31,209.3275
1.08333333333333,529.85,132.4625
1.1,423.63,105.9075
1.11666666666667,509.62,127.405
1.13333333333333,706.12,176.53
1.15,605.35,151.3375
1.16666666666667,948.86,237.215
1.18333333333333,1120.75,280.1875
1.2,768.16,192.04
1.21666666666667,821.82,205.455
1.23333333333333,851.31,212.8275
1.25,515.75,128.9375
1.26666666666667,419.81,104.9525
1.28333333333333,333.15,83.2875
1.3,277.23,69.3075
1.31666666666667,248.4,62.1
1.33333333333333,217.25,54.3125
1.35,207.67,51.9175
1.36666666666667,207.36,51.84
1.38333333333333,206.25,51.5625
1.4,197.4,49.35
1.41666666666667,184.59,46.1475
1.43333333333333,191.9,47.975
1.45,214.17,53.5425
1.46666666666667,229.78,57.445
1.48333333333333,250.5,62.625
1.5,262.15,65.5375
1.51666666666667,265.22,66.305
1.53333333333333,265.36,66.34
1.55,260.7,65.175
1.56666666666667,249.88,62.47
1.58333333333333,236.66,59.165
1.6,223.21,55.8025
1.61666666666667,210.5,52.625
1.63333333333333,200.37,50.0925
1.65,193.45,48.3625
1.66666666666667,188.99,47.2475
1.68333333333333,182.93,45.7325
1.7,173.82,43.455
1.71666666666667,165.57,41.3925
1.73333333333333,162.55,40.6375
1.75,163.6,40.9
1.76666666666667,166.26,41.565
1.78333333333333,168.29,42.0725
1.8,170.15,42.5375
1.81666666666667,170.51,42.6275
1.83333333333333,168.06,42.015
1.85,158.7,39.675
1.86666666666667,148.01,37.0025
1.88333333333333,130.2,32.55
1.9,125.61,31.4025
1.91666666666667,172,43
1.93333333333333,213.31,53.3275
1.95,239.07,59.7675
1.96666666666667,271.52,67.88
1.98333333333333,295.93,73.9825
2,302.64,75.66
