DATE (MM/DD/YYYY),EST,Global Horizontal [W/m^2]
11/20/2019,07:50,18.1632
11/20/2019,07:51,18.6598
11/20/2019,07:52,18.9085
11/20/2019,07:53,19.3947
11/20/2019,07:54,19.6345
11/20/2019,07:55,20.2949
11/20/2019,07:56,20.5285
11/20/2019,07:57,21.3651
11/20/2019,07:58,22.3200
11/20/2019,07:59,23.1521
11/20/2019,08:00,23.5710
11/20/2019,08:01,24.2634
11/20/2019,08:02,24.8810
11/20/2019,08:03,25.3272
11/20/2019,08:04,25.7804
11/20/2019,08:05,25.8927
11/20/2019,08:06,25.7277
11/20/2019,08:07,25.6922
11/20/2019,08:08,26.0160
11/20/2019,08:09,26.3518
11/20/2019,08:10,26.8715
11/20/2019,08:11,26.8301
11/20/2019,08:12,26.8024
11/20/2019,08:13,27.1536
11/20/2019,08:14,27.6132
11/20/2019,08:15,28.3032
11/20/2019,08:16,28.9359
11/20/2019,08:17,29.6840
11/20/2019,08:18,30.4332
11/20/2019,08:19,31.5312
11/20/2019,08:20,32.5726
11/20/2019,08:21,33.9060
11/20/2019,08:22,35.532
11/20/2019,08:23,36.5185
11/20/2019,08:24,37.3886
11/20/2019,08:25,39.1354
11/20/2019,08:26,40.6494
11/20/2019,08:27,40.5237
11/20/2019,08:28,38.7506
11/20/2019,08:29,37.0281
11/20/2019,08:30,36.2405
11/20/2019,08:31,35.5664
11/20/2019,08:32,35.1826
11/20/2019,08:33,34.7368
11/20/2019,08:34,34.7007
11/20/2019,08:35,34.6618
11/20/2019,08:36,34.0295
11/20/2019,08:37,34.0438
11/20/2019,08:38,34.0559
11/20/2019,08:39,34.0648
11/20/2019,08:40,33.5976
11/20/2019,08:41,33.3651
11/20/2019,08:42,33.3667
11/20/2019,08:43,33.3650
11/20/2019,08:44,33.7744
11/20/2019,08:45,34.0628
11/20/2019,08:46,34.0523
11/20/2019,08:47,34.0394
11/20/2019,08:48,34.0247
11/20/2019,08:49,34.0085
11/20/2019,08:50,34.0566
11/20/2019,08:51,34.4021
11/20/2019,08:52,34.6294
11/20/2019,08:53,34.6794
11/20/2019,08:54,34.6693
11/20/2019,08:55,34.6600
11/20/2019,08:56,34.6517
11/20/2019,08:57,34.6430
11/20/2019,08:58,35.7522
11/20/2019,08:59,70.7594
11/20/2019,09:00,147.065
11/20/2019,09:01,202.892
11/20/2019,09:02,211.882
11/20/2019,09:03,208.072
11/20/2019,09:04,230.083
11/20/2019,09:05,235.891
11/20/2019,09:06,238.994
11/20/2019,09:07,241.916
11/20/2019,09:08,238.152
11/20/2019,09:09,181.948
11/20/2019,09:10,151.601
11/20/2019,09:11,109.945
11/20/2019,09:12,81.9490
11/20/2019,09:13,163.988
11/20/2019,09:14,244.091
11/20/2019,09:15,257.575
11/20/2019,09:16,251.237
11/20/2019,09:17,254.952
11/20/2019,09:18,268.364
11/20/2019,09:19,270.145
11/20/2019,09:20,274.017
11/20/2019,09:21,260.922
11/20/2019,09:22,269.892
11/20/2019,09:23,258.509
11/20/2019,09:24,282.762
11/20/2019,09:25,287.419
11/20/2019,09:26,289.593
11/20/2019,09:27,296.969
11/20/2019,09:28,300.852
11/20/2019,09:29,256.298
11/20/2019,09:30,310.069
11/20/2019,09:31,308.983
11/20/2019,09:32,311.528
11/20/2019,09:33,315.800
11/20/2019,09:34,315.479
11/20/2019,09:35,243.953
11/20/2019,09:36,123.386
11/20/2019,09:37,54.6838
11/20/2019,09:38,52.5174
11/20/2019,09:39,52.9179
11/20/2019,09:40,54.2514
11/20/2019,09:41,56.1666
11/20/2019,09:42,57.8487
11/20/2019,09:43,58.5398
11/20/2019,09:44,80.8463
11/20/2019,09:45,134.403
11/20/2019,09:46,191.926
11/20/2019,09:47,264.906
11/20/2019,09:48,307.729
11/20/2019,09:49,312.952
11/20/2019,09:50,327.476
11/20/2019,09:51,322.838
